morfema,contagem
bʉb,11
ʔãr,65
rãm,16
yow,21
tir,87
wʉʉd,37
nã,7
bâs,2
nâxpog,4
top,6
yẽw,7
cem,26
baʔ,4
paas,1
bêʔ,1
be,3
tas,4
yũt,42
rãap,2
teen,3
tuk,6
réw,1
âg,10
rẽk,4
sibe,2
ʉ̃ʉy,9
weed,27
yed,2
dep,5
ʔid,11
wây,7
rũʔ,25
ẽr,39
xaaylãs,6
wap,16
nʉʔ,1
wât,1
ãa,3
kaʔ,1
xâd,25
xub,1
dâw,4
waar,1
dâr,23
sãr,2
rid,27
tâg,18
rẽd,2
dũʔ,1
xu,1
rũy,2
kuj,2
bʉg,8
ʔabʉg,3
ray,2
yãmxʉ,1
beey,16
nẽd,1
xuwêel,2
pej,1
yãmxʉʔ,2
yâa,2
dôo,1
yar,2
kʉb,9
po,11
topyõr,11
ʉ̃ʉyʔ,15
lax,1
ãm,41
ned,2
mẽr,2
ʔwey,2
dôoʔ,7
rod,2
nĩ,3
dâwtee,23
rân,2
xid,1
ʔweer,26
naap,6
tug,1
mẽʔ,2
ʔuub,1
pĩs,1
ʔuubẽr,1
seʔ,1
pis,12
seʔbáx,1
kâs,3
waʔ,3
yoon,4
yeʔ,2
rʉ̃ʔ,5
sãmãr,1
bʉt,1
dóʔ,1
ʔʉ̃ʉy,1
nê,4
xet,1
ʉʉjʔ,1
dâw'ãy,1
dâwʔãy,6
yaʔ,2
taax,2
kogʔogn,2
do,2
wĩnh,5
ʉʉb,2
dô,1
bertâg,10
yâ,1
wéed,4
tóc,1
ʔãm,4
wʉm,2
peg,5
cik,1
tẽn,2
lêc,2
dâwxut,6
ʔõt,5
wâayʔyar,3
dâwãy,2
dâwã,1
weyteen,2
nâx,10
yok,21
mʉg,4
ʔa,5
bax,1
nãk,2
ten,2
ʔar,2
çem,1
tuut,1
ãr,2
oito,1
horas,1
sun,1
nũx,1
ʔãay,1
ʔãx,1
paar,3
abʉg,2
çop,1
yêt,1
uy,3
aag,2
rãan,2
têen,5
yor,1
te,2
dimdak,1
yãm,2
câk,6
nõx,1
xʉtʉ,3
pitaa,3
lôok,5
tuu,3
lat,4
dej,1
bôol,1
ʔyãm,1
ok,1
xupwoc,4
nẽem,1
âd,1
kasmãy,1
ked,1
or,4
tʉʉ,2
sõm,2
bigid,2
bâ,2
kasãm,8
tes,1
bâas,1
rob,2
mĩs,3
bok,1
wox,1
buy,1
ʉy,1
pox,1
cop,1
yet,1
pʉʉd,1
mʉtwap,1
yaj,1
ʔyãmxʉʔ,2
ʔyewʔ,2
kalaap,1
saak,1
tâaw,2
mẽenh,2
xaat,1
du,1
reg,2
ʔʉʉb,1
pʉd,5
ne,1
ʔáʔ,2
núuʔ,1
winhʔĩi,1
bʉʉor,1
deel,1
need,2
siib,1
mʉnh,1
yawi,2
taw,3
kas,2
mãypeg,1
weey,1
báal,1
êʔ,1
taʔ,1
pâʔ,1
xas,1
rʉ̃ʉʔ,1
yêd,2
mãr,4
ʔnãgn,1
nĩʔuy,1
kâʔ,2
wâaʔ,1
rũ,1
rãʔ,1
yẽew,2
aaʔ,1
ʔidiʔ,1
yaak,1
nãak,1
nãpay,1
ẽej,1
dâwʔây,2
yam,2
waap,1
mãy,1
ruulʔ,1
xop,1
ʔmʉʉy,1
nãa,1
kon,1
peem,1
winh,2
kaaw,1
suun,1
tee,1
ʉ̃ʉ́yʔ,1
ʔwây,1
taaw,1
tôog,1
daad,1
kogogn,1
